Chapter and subsection,Raw text hazard-related context,Context goal,Context role,Terms extracted from context,UFO types associated with terms,,,Explicit ontological type,Number of UFO types,Harmful Event,Hazardous Event
"IEC 61508-4:2010, 3.8.5",proof test,Terminological definition - confirmation concept,"Define assessment, audit, proof test and diagnostic concepts",proof test,proof test: Event,,,Implicit,1,,
"IEC 61508-4:2010, 3.8.6",diagnostic coverage,Terminological definition - confirmation concept,"Define assessment, audit, proof test and diagnostic concepts",diagnostic coverage,diagnostic coverage: Moment,,,Implicit,1,,
"IEC 61508-4:2010, 3.8.7",diagnostic test interval,Terminological definition - confirmation concept,"Define assessment, audit, proof test and diagnostic concepts",diagnostic test interval,diagnostic test interval: Moment,,,Implicit,1,,
"IEC 61508-1:2010, Introduction","It is recognized that there is a great variety of applications using E/E/PE safety-related systems in a variety of application sectors and covering a wide range of complexity, hazard and risk potentials.",Scope and lifecycle framing,Establish generic scope and lifecycle context for hazard and risk work,hazard / risk potentials,hazard: Event/Moment/Object/Situation; risk potentials: unclassified,,,Implicit,4,,
"IEC 61508-1:2010, 1.2(c)","covers the achievement of a tolerable risk through the application of E/E/PE safety-related systems, but does not cover hazards arising from the E/E/PE equipment itself",Scope and lifecycle framing,Establish generic scope and lifecycle context for hazard and risk work,hazards,hazards: Event/Moment/Object/Situation,,,Implicit,4,,
"IEC 61508-1:2010, 1.2(g)","considers E/E/PE safety-related systems and other risk reduction measures, in order that the safety requirements specification for the E/E/PE safety-related systems can be determined in a systematic, risk-based manner",Scope and lifecycle framing,Establish generic scope and lifecycle context for hazard and risk work,other risk reduction measures / risk,other risk reduction measures: Moment/Object; risk: Moment,,,Implicit,2,,
"IEC 61508-1:2010, 1.2(k)",requires malevolent and unauthorised actions to be considered during hazard and risk analysis,Scope and lifecycle framing,Establish generic scope and lifecycle context for hazard and risk work,hazard and risk analysis,hazard and risk analysis: Event,,,Implicit,1,,
"IEC 61508-1:2010, Figure 1","Development of the overall safety requirements (concept, scope, definition, hazard and risk analysis)",Scope and lifecycle framing,Establish generic scope and lifecycle context for hazard and risk work,concept / scope / definition / hazard and risk analysis,concept: unclassified; scope: Object; definition: unclassified; hazard and risk analysis: Event,,,Implicit,1,,
"IEC 61508-1:2010, 6.2.5(a)","Procedures shall be developed for ensuring prompt follow-up and satisfactory resolution of recommendations relating to E/E/PE safety-related systems, including those arising from hazard and risk analysis.",Functional safety management,"Manage follow-up, reporting and maintenance of hazard-related information",hazard and risk analysis,hazard and risk analysis: Event,,,Implicit,1,,
"IEC 61508-1:2010, 6.2.6","Procedures shall be developed for ensuring that all detected hazardous events are analysed, and that recommendations are made to minimise the probability of a repeat occurrence.",Functional safety management,"Manage follow-up, reporting and maintenance of hazard-related information",hazardous events,hazardous events: Event,,,Explicit,1,,
"IEC 61508-1:2010, 6.2.9","Procedures shall be developed for maintaining accurate information on hazards and hazardous events, safety functions and E/E/PE safety-related systems.",Functional safety management,"Manage follow-up, reporting and maintenance of hazard-related information",hazards / hazardous events / safety functions,hazards: Event/Moment/Object/Situation; hazardous events: Event; safety functions: Event/Moment,,,Explicit,5,,hazardous event
"IEC 61508-1:2010, 7.2.2.2","The likely sources of hazards, hazardous situations and harmful events shall be determined.",Concept phase - hazard identification,"Identify sources of hazards, hazardous situations, harmful events and hazard characteristics",sources / hazards / hazardous situations / harmful events,sources of hazards: Moment/Object; hazardous situations: Situation; harmful events: Event,,,Explicit,2,harmful event,
"IEC 61508-1:2010, 7.2.2.3","Information about the determined hazards shall be obtained, for example duration, intensity, toxicity, exposure limit, mechanical force, explosive conditions, reactivity, flammability etc.",Concept phase - hazard identification,"Identify sources of hazards, hazardous situations, harmful events and hazard characteristics",hazards,hazards: Event/Moment/Object/Situation,,,Implicit,4,,hazardous event
